date,description,category,amount
2026-01-01,Mamak breakfast,Makanan,8.50
2026-01-02,Grab to campus,Pengangkutan,12.00
2026-01-03,KFC lunch,Makanan,18.90
2026-01-05,Shopee Top Up,Keperluan,30.00
2026-01-06,Petrol Petronas,Pengangkutan,40.00
2026-01-08,GSC Cinema ticket,Hiburan,15.00
2026-01-09,MyDin Mall food court,Makanan,22.00
2026-01-10,Uniqlo t-shirt,Shopping,59.90
2026-01-11,Nasi kandar dinner,Makanan,15.50
2026-01-12,Touch n Go reload,Pengangkutan,50.00
2026-01-13,Secret Recipe cake,Makanan,28.00
2026-01-14,Pizza Hut delivery,Makanan,45.00
2026-01-14,Steam game purchase,Hiburan,68.00
2026-01-14,Watsons toiletries,Keperluan,35.50
2026-01-14,Roti canai supper,Makanan,12.00
2026-01-14,Tealive bubble tea,Makanan,9.90
2026-01-14,Old Town kopitiam,Makanan,18.50
2026-01-14,Mydin groceries,Makanan,125.00
2026-01-14,Grab Eats mamak,Makanan,23.50
